id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,anomaly
38,59.995674,arp,-,INT,2,0,92,0,0.016668,0,0,6.133776,0.0,0,0,59998.196,0.0,13.651471,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,1
39,59.995678,arp,-,INT,2,0,92,0,0.016668,0,0,6.133775,0.0,0,0,59998.2,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,1
40,59.995674,arp,-,INT,2,0,92,0,0.016668,0,0,6.133776,0.0,0,0,59998.196,0.0,13.651471,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,1
42,59.995678,arp,-,INT,2,0,92,0,0.016668,0,0,6.133775,0.0,0,0,59998.2,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,1
176,13.982293,tcp,-,REQ,10,0,450,0,0.643671,254,0,231.721649,0.0,9,0,1553.588125,0.0,3023.2175,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,27,6,20,2,2,25,0,0,0,22,25,0,Normal,0,1
177,20.535067,tcp,-,REQ,10,0,450,0,0.438275,254,0,157.778885,0.0,9,0,2281.67375,0.0,5055.469,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,27,6,20,2,2,25,0,0,0,22,25,0,Normal,0,1
178,18.112692,tcp,-,REQ,10,0,450,0,0.496889,254,0,178.880096,0.0,9,0,2012.521375,0.0,4301.3875,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,27,6,20,2,2,25,0,0,0,22,25,0,Normal,0,1
180,15.328777,tcp,-,REQ,10,0,450,0,0.587131,254,0,211.367157,0.0,9,0,1703.1975,0.0,3444.5785,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,27,6,20,2,2,25,0,0,0,22,25,0,Normal,0,1
181,14.958252,tcp,-,REQ,10,0,450,0,0.601675,254,0,216.602844,0.0,9,0,1662.028,0.0,3325.15875,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,27,6,20,2,2,25,0,0,0,22,25,0,Normal,0,1
184,14.958252,tcp,-,REQ,10,0,450,0,0.601675,254,0,216.602844,0.0,9,0,1662.028,0.0,3325.15875,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,27,6,20,2,2,25,0,0,0,22,25,0,Normal,0,1
